RANK,Country,Happiness score,Whisker-high,Whisker-low,Dystopia (1.83) + residual,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption
23,Costa Rica,6.58,6683,6481,2346,1.58,1.05,"0,744","0,661","0,089","0,102"
24,United Arab Emirates,6.58,6660,6492,1809,2,"0,980","0,633","0,702","0,204","0,250"
25,Saudi Arabia,6.52,6637,6409,2075,1.87,1.09,"0,577","0,651","0,078","0,180"
26,Taiwan Province of China,6.51,6596,6429,2002,1.9,1.1,"0,733","0,542","0,075","0,168"
27,Singapore,6.48,6569,6392,932,2.15,1.13,"0,851","0,672","0,163","0,587"
28,Romania,6.48,6575,6379,2446,1.72,1.01,"0,655","0,605","0,039","0,006"
29,Spain,6.48,6560,6392,1893,1.81,1.21,"0,808","0,505","0,101","0,149"
30,Uruguay,6.47,6562,6386,1974,1.62,1.18,"0,672","0,665","0,103","0,265"
31,Italy,6.47,6570,6363,2222,1.83,1.05,"0,801","0,412","0,085","0,059"
32,Kosovo,6.46,6571,6339,2631,1.36,"0,949","0,569","0,599","0,309","0,035"
33,Malta,6.45,6535,6359,1631,1.84,1.17,"0,789","0,679","0,174","0,166"
34,Lithuania,6.45,6535,6356,2153,1.8,1.2,"0,659","0,496","0,053","0,077"
35,Slovakia,6.39,6475,6306,2094,1.74,1.23,"0,707","0,479","0,118","0,025"
36,Estonia,6.34,6415,6266,1442,1.79,1.23,"0,728","0,689","0,123","0,333"
37,Panama,6.31,6464,6154,2086,1.72,1.11,"0,709","0,592","0,049","0,051"
38,Brazil,6.29,6384,6202,2361,1.46,1.04,"0,615","0,546","0,131","0,134"
39,Guatemala,6.26,6460,6064,2746,1.27,"0,831","0,522","0,662","0,112","0,115"
40,Kazakhstan,6.23,6330,6138,1860,1.67,1.22,"0,611","0,584","0,134","0,157"
41,Cyprus,6.22,6320,6122,2044,1.82,"0,909","0,819","0,448","0,123","0,062"
42,Latvia,6.18,6255,6106,1923,1.73,1.22,"0,637","0,502","0,075","0,090"
43,Serbia,6.18,6294,6062,2031,1.55,1.09,"0,658","0,546","0,219","0,088"
44,Chile,6.17,6262,6082,2040,1.65,1.08,"0,748","0,460","0,124","0,069"
45,Nicaragua,6.17,6312,6017,2418,1.11,1.03,"0,617","0,617","0,168","0,212"
46,Mexico,6.13,6238,6017,2239,1.55,"0,886","0,623","0,621","0,092","0,115"
47,Croatia,6.13,6229,6022,1884,1.71,1.18,"0,709","0,535","0,109","0,000"
48,Poland,6.12,6205,6040,1693,1.76,1.17,"0,712","0,523","0,124","0,140"
49,El Salvador,6.12,6250,5990,2514,1.27,"0,768","0,607","0,666","0,089","0,212"
50,Kuwait,6.11,6235,5977,1621,1.9,"0,983","0,747","0,617","0,087","0,147"
51,Hungary,6.09,6187,5985,1812,1.75,1.23,"0,668","0,485","0,078","0,064"
52,Mauritius,6.07,6184,5958,1969,1.59,1.12,"0,568","0,589","0,131","0,107"
53,Uzbekistan,6.06,6178,5948,1913,1.22,1.09,"0,600","0,716","0,283","0,240"
54,Japan,6.04,6119,5959,1487,1.84,1.09,"0,866","0,537","0,007","0,218"
55,Honduras,6.02,6189,5855,2611,1.11,"0,885","0,555","0,582","0,202","0,076"
56,Portugal,6.02,6122,5911,1691,1.76,1.08,"0,777","0,655","0,016","0,039"
57,Argentina,5.97,6090,5844,1891,1.59,1.1,"0,662","0,555","0,081","0,085"
58,Greece,5.95,6043,5853,2119,1.7,"0,980","0,774","0,249","0,015","0,108"
59,South Korea,5.94,6021,5849,1656,1.85,"0,886","0,841","0,414","0,111","0,176"
60,Philippines,5.9,6007,5800,2283,1.27,"0,912","0,514","0,678","0,107","0,142"
61,Thailand,5.89,5994,5788,1600,1.54,1.1,"0,697","0,617","0,321","0,026"
62,Moldova,5.86,5948,5766,2142,1.42,1.01,"0,597","0,561","0,102","0,028"
63,Jamaica,5.85,6023,5676,2164,1.3,1.05,"0,646","0,567","0,080","0,053"
64,Kyrgyzstan,5.83,5916,5741,2087,1.07,1.11,"0,638","0,693","0,208","0,025"
65,Belarus,5.82,5950,5693,1811,1.56,1.16,"0,629","0,342","0,040","0,282"
66,Colombia,5.78,5903,5659,1971,1.45,"0,929","0,720","0,545","0,087","0,077"
67,Bosnia and Herzegovina,5.77,5877,5659,1869,1.47,1.07,"0,665","0,448","0,244","0,006"
68,Mongolia,5.76,5845,5676,1999,1.39,1.2,"0,467","0,398","0,247","0,059"
69,Dominican Republic,5.74,5873,5601,1751,1.54,1,"0,577","0,606","0,084","0,179"
70,Malaysia,5.71,5845,5578,1471,1.69,"0,938","0,620","0,654","0,213","0,126"
71,Bolivia,5.6,5709,5491,2107,1.26,"0,880","0,555","0,627","0,112","0,064"
72,China,5.59,5650,5520,1516,1.51,"0,958","0,705","0,656","0,099","0,142"
73,Paraguay,5.58,5689,5467,1555,1.41,1.13,"0,624","0,629","0,171","0,059"
74,Peru,5.56,5679,5439,1890,1.4,"0,865","0,735","0,545","0,090","0,037"
75,Montenegro,5.55,5681,5413,1619,1.57,1.02,"0,659","0,460","0,135","0,077"
76,Ecuador,5.53,5653,5414,1866,1.35,"0,879","0,708","0,565","0,080","0,083"
77,Vietnam,5.49,5570,5400,1735,1.25,"0,932","0,611","0,707","0,143","0,105"
78,Turkmenistan,5.47,5578,5371,1160,1.48,1.32,"0,516","0,649","0,314","0,032"
79,North Cyprus,5.47,5609,5325,1078,1.82,"0,888","0,819","0,523","0,130","0,213"
80,Russia,5.46,5525,5392,1494,1.69,1.1,"0,586","0,401","0,117","0,080"
81,Hong Kong S.A.R. of China,5.43,5501,5348,"0,642",1.96,"0,954","0,942","0,400","0,147","0,383"
82,Armenia,5.4,5519,5278,1654,1.43,"0,820","0,668","0,558","0,054","0,210"
83,Tajikistan,5.38,5468,5287,1895,"0,966",1.01,"0,518","0,572","0,118","0,304"
84,Nepal,5.38,5502,5251,2224,"0,984","0,784","0,499","0,519","0,237","0,130"
85,Bulgaria,5.37,5485,5257,1235,1.63,1.16,"0,640","0,563","0,123","0,021"
86,Libya,5.33,5543,5118,1544,1.48,"0,943","0,606","0,477","0,106","0,179"
87,Indonesia,5.24,5341,5139,1300,1.38,"0,883","0,539","0,620","0,468","0,047"
88,Ivory Coast,5.24,5384,5085,2652,1.09,"0,442","0,322","0,451","0,149","0,124"
89,North Macedonia,5.2,5303,5095,1461,1.51,"0,863","0,637","0,488","0,215","0,031"
90,Albania,5.2,5321,5076,1718,1.44,"0,646","0,719","0,511","0,138","0,028"
91,South Africa,5.19,5315,5073,1742,1.43,1.09,"0,361","0,442","0,089","0,046"
92,Azerbaijan,5.17,5265,5082,1098,1.46,1.09,"0,560","0,601","0,023","0,341"
93,Gambia,5.16,5409,4918,2531,"0,785","0,621","0,369","0,367","0,388","0,103"
94,Bangladesh,5.16,5262,5049,1967,1.06,"0,614","0,581","0,622","0,125","0,187"
95,Laos,5.14,5263,5018,1709,1.24,"0,654","0,479","0,679","0,197","0,184"
96,Algeria,5.12,5215,5030,1744,1.36,"0,970","0,643","0,146","0,106","0,150"
97,Liberia,5.12,5428,4815,2844,"0,636","0,670","0,309","0,405","0,178","0,080"
98,Ukraine,5.08,5190,4978,1331,1.41,1.08,"0,583","0,473","0,188","0,017"
99,Congo,5.08,5235,4915,2658,"0,950","0,405","0,355","0,431","0,130","0,146"
100,Morocco,5.06,5181,4938,2405,1.21,"0,268","0,565","0,492","0,020","0,102"
101,Mozambique,5.05,5273,4823,2641,"0,578","0,660","0,191","0,593","0,185","0,200"
102,Cameroon,5.05,5188,4907,2469,"0,968","0,672","0,317","0,397","0,152","0,074"
