"country","happiness_score","gpd_per_capita","social_support","healthy_life_expectancy","freedom_to_make_life_choices","latitude","longtitude"
"Afghanistan",2.566900015,0.30070585,0.356433839,0.266051531,0,33,65
"Albania",4.882699966,0.906653047,0.830483913,0.846329629,0.461945891,41,20
"Algeria",5.005099773,0.943856001,1.143003583,0.745418549,0.083943799,28,3
"Argentina",5.974699974,1.028465629,1.372543693,0.849773705,0.520840347,-34,-64
"Armenia",4.676799774,0.808262408,1.034576893,0.77585727,0.378075808,40,45
"Australia",7.222799778,1.310396433,1.477146268,1.022607684,0.621877193,-27,133
"Austria",7.294199944,1.317285538,1.437444925,1.000933528,0.603368878,47.3333,13.3333
"Azerbaijan",5.164800167,0.990272701,1.180613041,0.731134057,0.467734724,40.5,47.5
"Bahrain",6.227300167,1.296692252,1.31532371,0.838836372,0.610399902,26,50.55
"Bangladesh",4.832799911,0.556156278,0.868800581,0.694940507,0.604130566,24,90
"Belarus",5.539899826,1.018854499,1.38713932,0.75258857,0.290755868,53,28
"Belgium",6.863500118,1.295842767,1.398677588,0.964901149,0.499805421,50.8333,4
"Benin",5.21600008,0.366244704,0.352428436,0.328062952,0.40583989,9.5,2.25
"Bosnia and Herzegovina",5.674099922,0.91839546,1.203986526,0.813928187,0.305365741,44,18
"Botswana",3.478899956,0.997548997,1.08569479,0.494101733,0.50908941,-22,24
"Brazil",6.375599861,0.952679873,1.363464117,0.766119063,0.483292729,-10,-55
"Bulgaria",5.101500034,1.046554685,1.460578918,0.777776897,0.417820066,43,25
"Burkina Faso",4.768700123,0.302467644,0.9293859,0.312833875,0.322398156,13,-2
"Burundi",3.775300026,0,0.403575271,0.295212835,0.275399059,-3.5,30
"Cambodia",4.848400116,0.544634938,1.071426034,0.587904334,0.674940348,13,105
"Cameroon",5.084899902,0.503958046,0.89972645,0.270189553,0.439242482,6,12
"Canada",7.23210001,1.301647663,1.435391903,1.022501945,0.644028127,60,-95
"Central African Republic",3.475899935,0.041072082,0,0,0.292814463,7,21
"Chad",4.422699928,0.302287489,0.739118278,0.1087441,0.228601769,15,19
"Chile",6.228499889,1.096992493,1.323286891,0.889260828,0.417482227,-30,-71
"China",5.123899937,0.990533412,1.132080674,0.867248535,0.601605117,35,105
"Colombia",6.163400173,0.93220371,1.33445096,0.810020149,0.526890039,4,-72
"Comoros",4.288599968,0.415620774,0.723232806,0.437383324,0.181028232,-12.1667,44.25
"Costa Rica",7.121399879,0.981107712,1.374853611,0.939635336,0.645017743,10,-84
"Croatia",5.504700184,1.109024286,1.311264873,0.900575578,0.381456882,45.1667,15.5
"Cyprus",6.15899992,1.21279943,1.149170756,1.026124597,0.459385872,35,33
"Czech Republic",6.910900116,1.212322354,1.40528667,0.89456445,0.505744576,49.75,15.5
"Denmark",7.645599842,1.326948524,1.503449202,0.979332566,0.665039897,56,10
"Dominican Republic",5.689199924,0.983191848,1.328888893,0.741901696,0.5628739,19,-70.6667
"Ecuador",5.925199986,0.853383601,1.221027613,0.838837743,0.555234551,-2,-77.5
"Egypt",4.151400089,0.875228941,0.982539535,0.596911311,0.373684734,27,30
"El Salvador",6.34829998,0.748940408,1.149397612,0.752730012,0.524043918,13.8333,-88.9167
"Estonia",6.021800041,1.192441225,1.453232527,0.842615008,0.576664805,59,26
"Ethiopia",4.186200142,0.315125644,1.001103282,0.483846247,0.41256687,8,38
"Finland",7.808700085,1.285189509,1.499525905,0.961271405,0.66231674,64,26
"France",6.663799763,1.268129349,1.458839178,1.029714227,0.514050901,46,2
"Gabon",4.829299927,0.988044381,1.10639751,0.522574842,0.369459897,-1,11.75
"Gambia",4.750599861,0.256990552,0.882678688,0.353247881,0.403419524,13.4667,-16.5667
"Georgia",4.672599792,0.847198069,0.7311939,0.694657624,0.485494107,42,43.5
"Germany",7.075799942,1.314184546,1.368543744,0.972114801,0.564274132,51,9
"Ghana",5.147999763,0.575862467,0.96636796,0.432162255,0.477290064,8,-2
"Greece",5.514999866,1.128070116,1.168973565,0.979431748,0.173516348,39,22
"Guatemala",6.398900032,0.753815711,1.174267054,0.705952585,0.613146722,15.5,-90.25
"Guinea",4.949299812,0.390007734,0.75136596,0.333655238,0.371878058,11,-10
"Haiti",3.720799923,0.284734428,0.646671355,0.37436673,0.169297516,19,-72.4167
"Honduras",5.953199863,0.598763585,1.186664104,0.791989982,0.568148077,15,-86.5
"Hungary",6.000400066,1.164307117,1.423009396,0.806793869,0.386401802,47,20
"Iceland",7.504499912,1.326501608,1.547567487,1.000843406,0.661980748,65,-18
"India",3.573299885,0.730576158,0.644198656,0.54057014,0.581142247,20,77
"Indonesia",5.285600185,0.891720712,1.154800892,0.610437036,0.568161428,-5,120
"Iraq",4.784800053,0.982018709,1.011466622,0.529350698,0.283588052,33,44
"Ireland",7.093699932,1.446886778,1.470596433,0.975670695,0.587779939,53,-8
"Israel",7.128600121,1.216463685,1.403256774,1.008052945,0.420699477,31.5,34.75
"Italy",6.38740015,1.236396074,1.347296,1.022504926,0.321305573,42.8333,12.8333
"Jamaica",5.889800072,0.779058397,1.408289194,0.788434088,0.553124607,18.25,-77.5
"Japan",5.870800018,1.26672411,1.332338691,1.072881341,0.495465875,36,138
"Jordan",4.633399963,0.785179198,1.140118599,0.777624726,0.424855083,31,36
"Kazakhstan",6.057899952,1.122594237,1.453267694,0.698788941,0.497432142,48,68
"Kenya",4.583000183,0.476413399,0.905077755,0.536312759,0.519180536,1,38
"Kuwait",6.102099895,1.424833655,1.244779825,0.776468933,0.570261419,29.3375,47.6581
"Kyrgyzstan",5.541500092,0.513180971,1.341036677,0.680645883,0.614617765,41,75
"Latvia",5.949999809,1.14139545,1.414398789,0.777902424,0.329198807,57,25
"Lebanon",4.771500111,0.889232516,1.19249332,0.788671136,0.18551667,33.8333,35.8333
"Lesotho",3.652800083,0.45493874,1.088940024,0.100934811,0.409367532,-29.5,28.5
"Liberia",4.557899952,0.174103007,0.920733929,0.392284274,0.405943096,6.5,-9.5
"Lithuania",6.215499878,1.193559647,1.432865739,0.795421183,0.42046079,56,24
"Luxembourg",7.237500191,1.536676049,1.387528419,0.986442685,0.610137045,49.75,6.1667
"Madagascar",4.165599823,0.244553208,0.823694348,0.500617027,0.192967549,-20,47
"Malawi",3.538000107,0.176534727,0.53036809,0.446163297,0.487389833,-13.5,34
"Malaysia",5.384300232,1.168421626,1.17400229,0.788511872,0.596941531,2.5,112.5
"Maldives",5.197599888,0.937864304,1.402287602,0.914439559,0.548203647,3.25,73
"Mali",4.729300022,0.352462649,0.97314173,0.234981522,0.377534449,17,-4
"Malta",6.772799969,1.252513289,1.442956924,0.972042024,0.633239031,35.8333,14.5833
"Mauritania",4.374599934,0.539684892,1.113323569,0.425184816,0.185714483,20,-12
"Mauritius",6.101299763,1.07366395,1.395666838,0.763389409,0.590838134,-20.2833,57.55
"Mexico",6.465000153,1.024387479,1.226333499,0.831601024,0.553892553,23,-102
"Mongolia",5.456200123,0.904872775,1.458930612,0.615788162,0.355703115,46,105
"Montenegro",5.54610014,1.010150075,1.265657902,0.839028895,0.303223848,42,19
"Morocco",5.094799995,0.75862211,0.645208478,0.745096922,0.450054139,32,-5
"Mozambique",4.623600006,0.178741366,0.955202878,0.324223638,0.56077534,-18.25,35
"Myanmar",4.308000088,0.67809093,1.098178267,0.495443076,0.597478867,22,98
"Namibia",4.571100235,0.84008199,1.245738149,0.40687117,0.444598973,-22,17
"Nepal",5.137199879,0.444050372,1.100789309,0.66887939,0.480608255,28,84
"Netherlands",7.448900223,1.338946342,1.463645935,0.975675344,0.61362648,52.5,5.75
"New Zealand",7.299600124,1.242317915,1.48721838,1.008138299,0.646789908,-41,174
"Nicaragua",6.13710022,0.620033145,1.27081275,0.803093255,0.560117304,13,-85
"Niger",4.909599781,0.108330332,0.703800142,0.298816353,0.435311615,16,8
"Nigeria",4.724100113,0.645901859,0.986717939,0.167835936,0.435079455,10,8
"Norway",7.487999916,1.42420733,1.495172501,1.008071899,0.670200884,62,10
"Pakistan",5.69329977,0.616799474,0.872979581,0.469933242,0.405421734,30,70
"Panama",6.304800034,1.097667813,1.376149297,0.878546536,0.57984978,9,-80
"Paraguay",5.692100048,0.897990823,1.36819756,0.735869646,0.586510062,-23,-58
"Peru",5.796800137,0.91854918,1.208405972,0.824444175,0.513210058,-10,-76
"Philippines",6.006000042,0.775120676,1.245381713,0.602189481,0.621915162,13,122
"Poland",6.186299801,1.16922915,1.310399771,0.868038476,0.557903528,52,20
"Portugal",5.910900116,1.168800831,1.339530349,0.979315281,0.589895189,39.5,-8
"Romania",6.123700142,1.120401621,1.1944381,0.79229486,0.534852326,46,25
"Rwanda",3.312299967,0.343242675,0.522876322,0.572383285,0.604087889,-2,30
"Saudi Arabia",6.406499863,1.334328532,1.309950113,0.759818137,0.548477471,25,45
"Senegal",4.980800152,0.504061818,0.95459342,0.518391907,0.352400899,14,-14
"Serbia",5.77820015,0.988181829,1.327448964,0.828403294,0.395428419,44,21
"Sierra Leone",3.926399946,0.240560383,0.747984946,0.203953966,0.382027686,8.5,-11.5
"Singapore",6.377099991,1.519580126,1.39545691,1.137814283,0.635317206,1.3667,103.8
"Slovakia",6.280600071,1.194837689,1.424331188,0.853465259,0.423542529,48.6667,19.5
"Slovenia",6.363399982,1.208652496,1.464677691,0.932548046,0.646700144,46,15
"South Africa",4.814099789,0.902140439,1.259086251,0.407034069,0.43478182,-29,24
"South Sudan",2.816600084,0.289082974,0.553278506,0.208809033,0.065609254,8,30
"Spain",6.400899887,1.230535269,1.421099186,1.051343083,0.425983816,40,-4
"Sri Lanka",4.327000141,0.897986948,1.19494009,0.792036712,0.528632462,7,81
"Swaziland",4.308100224,0.827539742,1.064835191,0.215585828,0.299935788,-26.5,31.5
"Sweden",7.353499889,1.322235227,1.433347702,0.986470461,0.650297701,62,15
"Switzerland",7.559899807,1.39077425,1.472403407,1.040533185,0.62895447,47,8
"Tajikistan",5.555699825,0.474874616,1.218377709,0.680594802,0.521141171,39,71
"Thailand",5.998799801,1.007029295,1.347519517,0.793855846,0.609449804,15,100
"Togo",4.187200069,0.268116266,0.547622859,0.342731178,0.303539038,8,1.1667
"Trinidad and Tobago",6.191899776,1.167641521,1.407326221,0.658828557,0.55293113,11,-61
"Tunisia",4.392199993,0.874742687,0.872167706,0.781156719,0.235860556,34,9
"Turkey",5.131800175,1.127169251,1.197159171,0.781335294,0.25440076,39,35
"Turkmenistan",5.119100094,1.008963585,1.510476947,0.612448037,0.515236676,40,60
"Uganda",4.43200016,0.312337428,1.052327394,0.378311664,0.401682556,1,32
"Ukraine",4.56069994,0.780434608,1.321316481,0.698674381,0.319423705,49,32
"United Arab Emirates",6.790800095,1.431086421,1.251170993,0.787814438,0.652936101,24,54
"United Kingdom",7.164500237,1.273061037,1.457844973,0.97570008,0.525168657,54,-2
"United States",6.939599991,1.37398684,1.404786706,0.831618011,0.534608245,38,-97
"Uruguay",6.440100193,1.071000457,1.425081134,0.856928885,0.59426707,-33,-56
"Uzbekistan",6.257599831,0.696652949,1.434020042,0.716703713,0.693270326,41,64
"Yemen",3.527400017,0.392701775,1.177477121,0.41500017,0.243721485,15,48
"Zambia",3.759399891,0.536833763,0.896037281,0.36359334,0.49131754,-15,30
"Zimbabwe",3.299200058,0.425564021,1.047835231,0.375037611,0.37740472,-20,30
